Update 0: {'0': 0, '1': 0, '2': 0}
Update 264: {'0': -6.681079182311034, '1': -9.189471573209953, '2': -11.096409283019725}
Update 265: {'0': -6.6810870407552585, '1': -9.189479431654176, '2': -11.096417141463949}
Update 266: {'0': -6.681094584861713, '1': -9.18948697576063, '2': -11.096424685570405}
Update 267: {'0': -6.681101827203909, '1': -9.189494218102828, '2': -11.096431927912601}
Update 268: {'0': -6.681108779852419, '1': -9.189501170751337, '2': -11.09643888056111}
Update 269: {'0': -6.6811154543949876, '1': -9.189507845293905, '2': -11.096445555103678}
Update 270: {'0': -6.681121861955852, '1': -9.18951425285477, '2': -11.096451962664542}
Update 271: {'0': -6.681128013214284, '1': -9.189520404113201, '2': -11.096458113922974}
Update 272: {'0': -6.681133918422377, '1': -9.189526309321295, '2': -11.09646401913107}
Update 273: {'0': -6.681139587422146, '1': -9.189531978321064, '2': -11.096469688130838}
Update 274: {'0': -6.681145029661925, '1': -9.189537420560843, '2': -11.096475130370617}
Update 275: {'0': -6.681150254212113, '1': -9.189542645111032, '2': -11.096480354920804}
Update 276: {'0': -6.6811552697802945, '1': -9.189547660679214, '2': -11.096485370488985}
Update 277: {'0': -6.681160084725748, '1': -9.189552475624666, '2': -11.096490185434439}
Update 278: {'0': -6.681164707073382, '1': -9.189557097972301, '2': -11.096494807782074}
Update 279: {'0': -6.681169144527113, '1': -9.18956153542603, '2': -11.096499245235805}
Update 280: {'0': -6.681173404482692, '1': -9.189565795381611, '2': -11.096503505191384}
Update 281: {'0': -6.68117749404005, '1': -9.189569884938969, '2': -11.09650759474874}
Update 282: {'0': -6.681181420015113, '1': -9.18957381091403, '2': -11.096511520723803}
Update 283: {'0': -6.681185188951172, '1': -9.189577579850091, '2': -11.096515289659864}
Update 284: {'0': -6.681188807129791, '1': -9.189581198028709, '2': -11.096518907838483}
Update 285: {'0': -6.681192280581264, '1': -9.189584671480183, '2': -11.096522381289956}
Update 286: {'0': -6.68119561509468, '1': -9.189588005993599, '2': -11.09652571580337}
Update 287: {'0': -6.681198816227559, '1': -9.189591207126476, '2': -11.096528916936249}
Update 288: {'0': -6.681201889315121, '1': -9.18959428021404, '2': -11.096531990023813}
Update 289: {'0': -6.681204839479182, '1': -9.1895972303781, '2': -11.096534940187873}
Update 290: {'0': -6.681207671636679, '1': -9.189600062535597, '2': -11.096537772345371}
Update 291: {'0': -6.681210390507877, '1': -9.189602781406796, '2': -11.096540491216569}
Update 292: {'0': -6.681213000624227, '1': -9.189605391523145, '2': -11.09654310133292}
Update 293: {'0': -6.681215506335922, '1': -9.189607897234842, '2': -11.096545607044614}
Update 294: {'0': -6.681217911819152, '1': -9.18961030271807, '2': -11.096548012527844}
Update 295: {'0': -6.68122022108305, '1': -9.189612611981968, '2': -11.096550321791742}
Update 296: {'0': -6.681222437976393, '1': -9.189614828875312, '2': -11.096552538685085}
Update 297: {'0': -6.681224566194004, '1': -9.189616957092921, '2': -11.096554666902694}
Update 298: {'0': -6.681226609282908, '1': -9.189619000181827, '2': -11.0965567099916}
Update 299: {'0': -6.681228570648257, '1': -9.189620961547174, '2': -11.096558671356949}
Update 300: {'0': -6.681230453558991, '1': -9.18962284445791, '2': -11.096560554267683}
Update 301: {'0': -6.681232261153298, '1': -9.189624652052215, '2': -11.096562361861988}
Update 302: {'0': -6.681233996443829, '1': -9.189626387342749, '2': -11.09656409715252}
